E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
9.5461	92	gamma	eBrem	-1e+06
9.5461	92	e-	phot	-1e+06
	1.753	92	-1	EventGenerator/eBrem/eBrem/phot/
9.6644	93	e-	EventGenerator	0.065464
	1.9397	93	-1	EventGenerator/
9.635	94	e-	EventGenerator	0.065824
9.635	94	gamma	eBrem	-1e+06
9.635	94	e-	eIoni	-1e+06
9.635	94	gamma	eBrem	-1e+06
9.635	94	gamma	eBrem	-1e+06
9.635	94	e-	compt	-1e+06
9.635	94	e-	phot	-1e+06
	3.9337	94	-1	EventGenerator/eBrem/eIoni/eBrem/eBrem/compt/phot/
9.6485	95	e-	EventGenerator	0.065225
9.6485	95	gamma	eBrem	-1e+06
	1.5472	95	-1	EventGenerator/eBrem/
9.6231	96	e-	EventGenerator	0.065192
9.6231	96	e-	eIoni	-1e+06
2.1797	96	gamma	eBrem	0.075624
2.1797	96	gamma	eBrem	-1e+06
2.1797	96	e-	phot	-1e+06
	7.4433	96	-1	EventGenerator/eIoni/eBrem/eBrem/phot/
9.4793	97	e-	EventGenerator	0.065295
	1.3054	97	-1	EventGenerator/
9.6071	98	e-	EventGenerator	0.065131
9.6071	98	gamma	eBrem	-1e+06
9.6071	98	gamma	eBrem	-1e+06
9.6071	98	e-	phot	-1e+06
	8.1965	98	-1	EventGenerator/eBrem/eBrem/phot/
9.6687	99	e-	EventGenerator	0.065345
	1.2242	99	-1	EventGenerator/
9.7157	0	e-	EventGenerator	0.065139
9.7157	0	gamma	eBrem	-1e+06
	1.5789	0	-1	EventGenerator/eBrem/
9.3917	1	e-	EventGenerator	0.065397
	1.3365	1	-1	EventGenerator/
9.6106	2	e-	EventGenerator	0.065136
9.6106	2	gamma	eBrem	-1e+06
9.6106	2	gamma	eBrem	-1e+06
	1.4432	2	-1	EventGenerator/eBrem/eBrem/
9.6175	3	e-	EventGenerator	0.065598
9.6175	3	gamma	eBrem	-1e+06
	1.3517	3	-1	EventGenerator/eBrem/
9.6445	4	e-	EventGenerator	0.06539
9.6445	4	gamma	eBrem	-1e+06
9.6445	4	gamma	eBrem	-1e+06
9.6445	4	gamma	eBrem	-1e+06
9.6445	4	e-	phot	-1e+06
9.6445	4	e-	phot	-1e+06
	4.8862	4	-1	EventGenerator/eBrem/eBrem/eBrem/phot/phot/
9.6768	5	e-	EventGenerator	0.065315
	1.4017	5	-1	EventGenerator/
9.6457	6	e-	EventGenerator	0.065933
	1.2765	6	-1	EventGenerator/
9.6441	7	e-	EventGenerator	0.065219
9.6441	7	gamma	eBrem	-1e+06
	1.7526	7	-1	EventGenerator/eBrem/
9.5059	8	e-	EventGenerator	0.065131
	1.9269	8	-1	EventGenerator/
9.6449	9	e-	EventGenerator	0.065365
9.6449	9	gamma	eBrem	-1e+06
9.6449	9	gamma	eBrem	-1e+06
9.6449	9	gamma	eBrem	-1e+06
9.6449	9	gamma	eBrem	-1e+06
9.6449	9	gamma	eBrem	-1e+06
9.6449	9	e-	compt	-1e+06
9.6449	9	e-	phot	-1e+06
	4.4016	9	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/eBrem/compt/phot/
9.6945	10	e-	EventGenerator	0.065151
9.6945	10	gamma	eBrem	-1e+06
9.6945	10	gamma	eBrem	-1e+06
	2.0204	10	-1	EventGenerator/eBrem/eBrem/
9.6903	11	e-	EventGenerator	0.065243
	1.4818	11	-1	EventGenerator/
9.6506	12	e-	EventGenerator	0.066042
9.6506	12	gamma	eBrem	-1e+06
